Face #,Member Initials,Age,Gender,Race/Ethnicity,Visible Emotion,Head Pose,Detection Confidence,Joy Likelihood,Sorrow Likelihood,Anger Likelihood,Surprise Likelihood,# Faces Detected,Bounding Box Ok? (Y/N),Roll Angle,Pan Angle,Tilt Angle,Score
1,MS (Mark Santiago) ,Elderly,M,Black,Neutral,Left Facing,0.96484375,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-1.1924804,-8.890304,2.6482582,10
2,MS,Adult,F,Latinx,Neutral,Front Facing,0.95703125,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.39161155,5.0412836,-4.1276717,7
3,MS,Elderly,M,Latinx,Neutral,Right Facing,0.94921875,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.93195707,9.498214,1.4853027,9
4,MS,Child,M,Black,Happy,Left Facing,0.95703125,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.109423555,-7.8961515,-6.414153,8
5,MS,Elderly,M,Asian,Neutral,Right Facing,0.95703125,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.8325873,5.4665356,8.447004,10
6,MS,Adult,F,Asian,Neutral,Right Facing,0.94921875,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.2007165,18.097391,-2.6556845,9
7,MS,Adult,M,Black,Neutral,Left Facing,0.96875,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.1989684,-8.864678,2.952873,9
8,MS,Child,M,Latinx,Neutral,Right Facing,0.97265625,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.1319207,7.2887645,2.144622,10
9,MS,Adult,M,Black,Happy,Left Facing,0.96875,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.28992474,4.782547,-2.2945693,10
10,MS,Adult,F,Asian,Happy,Left Facing,0.96875,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.5006861,-9.895984,3.3252008,10
11,MS,Adult,M,Latinx,Happy,Front Facing,0.97265625,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.021636823,-2.339301,4.22807,8
12,MS,Child,M,Asian,Happy,Front Facing,0.96875,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.46429214,-7.5511427,8.683879,7
13,MS,Elderly,F,Black,Neutral,Left Facing,0.953125,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,1.9046569,-18.720634,5.7661924,8
14,MS,Elderly,F,Asian,Neutral,Front Facing,0.96484375,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.041932307,-1.3224506,3.0792632,8
15,MS,Adult,F,Latinx,Neutral,Front Facing,0.95703125,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.58505136,5.8257117,-5.414549,9
16,MS,Adult,F,Asian,Happy,Front Facing,0.953125,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.06860541,-1.7024362,-7.3382463,8
17,MS,Adult,M,Black,Happy,Left Facing,0.96875,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.55883455,-4.9133945,2.1383722,7
18,MS,Adult,F,Latinx,Neutral,Left Facing,0.96484375,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-1.1096045,-8.649358,-9.2702675,8
19,MS,Adult,M,Black,Happy,Left Facing,0.97265625,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.09730303,-4.1254873,1.0232667,8
20,MS,Adult,F,Latinx,Neutral,Left Facing,0.96484375,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.6624921,-6.6876426,-8.3822975,7
21,MS,Adult,F,Black,Happy,Left Facing,0.96875,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.34327498,-9.043577,-3.2337189,10
22,MS,Adult,M,Asian,Neutral,Front Facing,0.94921875,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.35474855,3.3671782,-4.0113835,7
23,MS,Adult,M,Latinx,Happy,Front Facing,0.9609375,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.053904917,2.9689286,-3.1727214,10
24,SS (Shriya Shrestha),Adult,F,White,Happy,Front Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.4118,3.7532,-6.0249,10
25,SS,Elderly,F,White,Happy,Front Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.4761,-6.7271,-2.3962,8
26,SS,Child,M,White,Happy,Front Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.6249,0.1767,-0.4466,9
27,SS,Child,F,White,Neutral,Left Facing,0.96,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-1.4083,-16.7519,-7.6878,9
28,SS,Child,F,White,Neutral,Front Facing,0.97,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.8321,-3.3505,1.2804,10
29,SS,Child,M,White,Happy,Front Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.2906,-6.8219,-7.2447,8
30,SS,Adult,F,White,Happy,Left Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.0937,-14.5114,1.7614,10
31,SS,Elderly,F,White,Happy,Front Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.1614,3.271,4.0813,9
32,SS,Adult,F,White,Neutral,Left Facing,0.96,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.5725,-17.6997,0.2045,7
33,SS,Adult,F,White,Neutral,Left Facing,0.94,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-1.7114,-22.0872,-6.5834,10
34,SS,Elderly,M,White,Neutral,Front Facing,0.95,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.4644,2.1366,-3.5784,10
